expression_id,operation_id,operation_ast,canonical_meaning_ja,must_preserve_ja,expression_ja,connective_expression_ja
expr-candidate-20fb8cc14fedfd18b8129bc3b36d4fb78fa9451978ddcc4f62eb4fda1b14cf33,atomic-000001,"{""filter"":[""even""]}",偶数だけを残す,整数の偶数だけを選び、奇数を除く。元の要素順は変えない。,偶数を選んで残す,偶数を選んで残して
expr-candidate-24068ee022766bcfbe70afea35429f5c50ae509c0175223390bed5be7a2fd42d,atomic-000001,"{""filter"":[""even""]}",偶数だけを残す,整数の偶数だけを選び、奇数を除く。元の要素順は変えない。,偶数だけを残す,偶数だけを残し
expr-candidate-4c78cb73db664b1096e56b138d465383b7743e965c165113facb07507a1505e3,atomic-000001,"{""filter"":[""even""]}",偶数だけを残す,整数の偶数だけを選び、奇数を除く。元の要素順は変えない。,偶数を残すようにする,偶数を残して
expr-candidate-7c7d02654e52d89a6840eb3e75329c89cd50b5e19ca284731d88671706c6f694,atomic-000001,"{""filter"":[""even""]}",偶数だけを残す,整数の偶数だけを選び、奇数を除く。元の要素順は変えない。,偶数を取り出す,偶数を取り出して
expr-candidate-a829a48dd90912de7c09d0b7457ea03eaa49baa8e810e577c615a3eff9fb8055,atomic-000001,"{""filter"":[""even""]}",偶数だけを残す,整数の偶数だけを選び、奇数を除く。元の要素順は変えない。,偶数を選び出す,偶数を選び出して
expr-candidate-afd6b59ce828ff918446e348064a2e06c251ce0c8dfc1b7fddc154b8a8e42ee1,atomic-000001,"{""filter"":[""even""]}",偶数だけを残す,整数の偶数だけを選び、奇数を除く。元の要素順は変えない。,偶数だけを保持する,偶数だけを保持して
expr-candidate-b57fa45b81e0d6827710bfbcfd884a1349294e99b24e0dc5e8b9a1e3860ddce3,atomic-000001,"{""filter"":[""even""]}",偶数だけを残す,整数の偶数だけを選び、奇数を除く。元の要素順は変えない。,偶数を残す,偶数を残して
expr-candidate-c043a41e43b69731f6c434967df1d88664d09021667d7ff536400a74dcc63f1e,atomic-000001,"{""filter"":[""even""]}",偶数だけを残す,整数の偶数だけを選び、奇数を除く。元の要素順は変えない。,偶数のみを残す,偶数のみを残して
expr-candidate-cbc89117131c6bc8c85276b0682546748364232136d3fed98bd6678c31800634,atomic-000001,"{""filter"":[""even""]}",偶数だけを残す,整数の偶数だけを選び、奇数を除く。元の要素順は変えない。,偶数を抽出する,偶数を抽出して
expr-candidate-eaf2e26320416a7914c8a2841fcc8025401f09364f069e00287db9e8f273baaa,atomic-000001,"{""filter"":[""even""]}",偶数だけを残す,整数の偶数だけを選び、奇数を除く。元の要素順は変えない。,偶数だけを残しておく,偶数だけを残しておき
expr-candidate-f7042223d104fd143038cc4c5cb329c56aa2f5808e9bdd1db59aa5063cf190e5,atomic-000001,"{""filter"":[""even""]}",偶数だけを残す,整数の偶数だけを選び、奇数を除く。元の要素順は変えない。,偶数だけを留める,偶数だけを留めて
expr-candidate-28d7485d312f81135dccad00c40e517fb231cd374122eefb7092bbd67293c46d,atomic-000001,"{""filter"":[""even""]}",偶数だけを残す,整数の偶数だけを選び、奇数を除く。元の要素順は変えない。,偶数を切り抜く,偶数を切り抜いて
expr-candidate-f88e5ebe30303fce3fdb3eabda47cd6458a7ca9d393615d4ddc85bc488cd364c,atomic-000001,"{""filter"":[""even""]}",偶数だけを残す,整数の偶数だけを選び、奇数を除く。元の要素順は変えない。,偶数を切り出す,偶数を切り出して
expr-candidate-0d1fb363285d64d816032e2dcbb4c6ba28e27776068990fcad926fe59070c11f,atomic-000001,"{""filter"":[""even""]}",偶数だけを残す,整数の偶数だけを選び、奇数を除く。元の要素順は変えない。,偶数だけを特定する,偶数だけを特定して
expr-candidate-32ad1f7b0b5f8bd79b7653d5ee5b7089e70be3ee70ad887c2f3df8bf0d546b92,atomic-000001,"{""filter"":[""even""]}",偶数だけを残す,整数の偶数だけを選び、奇数を除く。元の要素順は変えない。,偶数だけを切り出す,偶数だけを切り出して
expr-candidate-97b203f7e5d98e542a6bd5ae853fa3550358e74e598202452fea4281b5915d54,atomic-000001,"{""filter"":[""even""]}",偶数だけを残す,整数の偶数だけを選び、奇数を除く。元の要素順は変えない。,偶数を切り取る,偶数を切りとって
expr-candidate-aeab13c5087ee8a298230974a045173ca24dbcdcc912549523deca9f23bd1010,atomic-000001,"{""filter"":[""even""]}",偶数だけを残す,整数の偶数だけを選び、奇数を除く。元の要素順は変えない。,偶数を取捨する,偶数を取捨して
expr-candidate-d7b3034776822e8c97325f1f3d9199524ebeb5fb5471f05d9e855f849b629281,atomic-000001,"{""filter"":[""even""]}",偶数だけを残す,整数の偶数だけを選び、奇数を除く。元の要素順は変えない。,偶数だけを抽出する,偶数だけを抽出して
expr-candidate-d930a195849bc117723ade6058573bbd5eb0feb8ba74c9c7bbeb589737c94034,atomic-000001,"{""filter"":[""even""]}",偶数だけを残す,整数の偶数だけを選び、奇数を除く。元の要素順は変えない。,偶数を分離する,偶数を分離して
expr-candidate-3993e1da363358cfee55dc6c7a37c68df1f6762daadfcd1de3f8463a1267b110,atomic-000001,"{""filter"":[""even""]}",偶数だけを残す,整数の偶数だけを選び、奇数を除く。元の要素順は変えない。,偶数だけを分ける,偶数だけを分けて
